Livecam;ID;Livecam generation;Brennweite, mm;Sensorhoehe, mm;real Sensorbreite, mm;Sensorbreite, mm;Field of view (FOV) height, °;real Field of view (FOV) width, °;Field of view (FOV) width, °;Download Link;Download base;original pixel w;original pixel h;horizontal pixel tot;horizontal pixel;vertikal pixel;Winkel;Nord Grad;Nord Pixel;Nord Pixel offset;Tilt Grad;Tilt Grad offset;GPS lat, °N, WGS84;GPS, °N offset;GPS long, °E;GPS, °E offset;Altitude (camera), m;Altitude offset;delta center;cutMin;cutMax;Max pixel
1. Berner Reha Zentrum Heiligenschwendi;1-HEISCH;3;35; 29.3 ; -   ; 44.1 ; 45.4 ; -   ; 64.4 ;https://backend.roundshot.com/cams/dd60e715a226d2ffd861c788c23581ea/full;https://storage2.roundshot.com/595e3fe12059f0.23556672/;1;2048;15680;3072;2048;360;200;8711;-1550;0;0;46.749611;0;7.693407;0;1134;0;0;0;0;0
2. Bucht Spiez – PopNet Informatik;2-BSPIEZ;5;20; 15.6 ; 23.5 ; 23.5 ; 42.6 ; 60.9 ; 60.9 ;https://backend.roundshot.com/cams/e08c6e0ae4563456d35cd1da7742b76c/full;https://storage.roundshot.com/641966b464bea6.24393207/;6240;4160;6901;3072;2048;150;20;920;-920;5;-5;46.68726;0;7.6819;0;599;0;-2;254;3911;4169
3. Niederhorn;3-NIEDH;3;35; 29.3 ; -   ; 44.1 ; 45.4 ; -   ; 64.4 ;https://backend.roundshot.com/cams/4eaaee53dd7f3096501ec31f898185f3/full;https://storage2.roundshot.com/5a902bcdd01f11.04145516/;1;2048;15680;3072;2048;360;0;0;14800;0;1;46.71056;0;7.775161;0;1948;0;0;0;0;0
4. Florens Lake Resort & Spa;4-FLSPA;3;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/5c254d5efc0783c052c74cb6f2d374d1/full;https://storage2.roundshot.com/5c4b331cc31ec6.62142760/;1;2048;7760;3072;2048;260;20;597;90;0;0;46.731035;0;7.951246;0;570;20;0;0;0;0
5. Meiringen Hasliberg – Kaeserstatt;5-MEIKAES;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/dfdeb5699ce47c7cfa426c1a6736bca8/full;https://storage2.roundshot.com/55799ba6e211b2.16310487/;1;2048;10771;3072;2048;360;355;10621;-10400;0;1;46.757572;0;8.218772;0;1833;0;0;0;0;0
6. Meiringen Hasliberg – Maegisalp;6-MEIMAEG;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/a6d5fca5d3624eb04cf9ecc48d5ec7d4/full;https://storage2.roundshot.com/53ce59bee8e0e9.48135677/;1;2048;10771;3072;2048;360;190;5685;18;0;0;46.749265;0;8.236862;0;1709;10;0;0;0;0
7. Meiringen Hasliberg – Alpen Tower;7-MEIALPT;2;35; 29.3 ; -   ; 44.1 ; 45.4 ; -   ; 64.4 ;https://backend.roundshot.com/cams/738cb178044c89590045c15ec2bf2726/full;https://storage2.roundshot.com/564f0328b9b989.00509554/;1;2048;16701;3072;2048;360;230;10670;-130;1;0;46.736775;0;8.255035;0;2245;0;0;0;0;0
8. Melchsee-Frutt – Dorf;8-MELCHDRF;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/f27ffa2562241b7c4117fe3712f8e358/full;https://storage.roundshot.com/53ce6e2b79e7b2.42704522/;1;2048;10771;3072;2048;360;70;2094;0;0;0;46.774624;0.001264;8.268524;0.000738;1916;29;0;0;0;0
9. Melchsee-Frutt – Bonistock;9-MELCHBONI;2;35; 29.3 ; -   ; 44.1 ; 45.4 ; -   ; 64.4 ;https://backend.roundshot.com/cams/b47569138e111706fcba8d747b82451a/full ;https://storage.roundshot.com/53ce6d3f058424.34843416/;1;2048;15707;3072;2048;360;90;3927;0;0;0;46.777667;0;8.289915;0;2063;110;0;0;0;0
10. Axalp – Windegg;10-AXALPW;3;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/b707198b33fa2241df3f26e35eaa1be6/full;https://storage.roundshot.com/5f8ed3efe2a147.60061295/;1;2048;10752;3072;2048;360;150;4480;0;0;0;46.709738;0;8.041524;0;1950;-24;0;0;0;0
11. Faulhorn – Grindelwald Tourismus;11-GRINDFAUL;5;12; 15.6 ; 23.5 ; 23.5 ; 66.0 ; 88.8 ; 88.8 ;https://backend.roundshot.com/cams/7823d0baddb829dad0ccc55bf912afe7/full;https://storage.roundshot.com/6515455eb12ee2.24928783/;6240;4160;11564;3072;2048;360;290;9315;0;0;0;46.67497;0;7.99949;0;2685;0;0;0;0;0
12. First Schreckfeld – Jungfrau;12-JUNGFSHREK;4;16; 15.6 ; 23.5 ; 23.5 ; 52.0 ; 72.6 ; 72.6 ;https://backend.roundshot.com/cams/c7f0edeec13d52b6c3cf91485d982548/full;https://storage2.roundshot.com/6405a3bd31e815.69114684/;6240;4160;14338;3072;2048;360;20;797;0;5;0;46.65837;0;8.06511;0;1970;0;27;190;4062;4199
13. Bussalp – Grindelwald;13-GRINDBUS;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/c2f9e6ae46be1e54e574fe3a6572f176/full;https://storage2.roundshot.com/53a0446509fab0.00534517/;1;2048;10771;3072;2048;360;250;7480;0;0;0;46.649442;0;7.991303;0;1810;0;0;0;0;0
14. Schynige Platte;14-SCHYNIGE;4;16; 15.6 ; 23.5 ; 23.5 ; 52.0 ; 72.6 ; 72.6 ;https://backend.roundshot.com/cams/9e425745e5de8732e6417c934111cb09/full;https://storage.roundshot.com/5b07b425c33048.76749639/;6240;4160;14085;3072;2048;360;270;10564;0;5;0;46.650943;0;7.909273;0;1967;17;35;191;4082;4203
15. Kirchbuehl – Grindelwald;15-GRINDKIRCH;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/030ee68c2b79d9ed086c9acbd88e5851/full;https://storage.roundshot.com/53a9904e274b39.54073038/;1;2048;10771;3072;2048;360;310;9275;0;0;0;46.627035;0;8.046107;0;1150;-30;0;0;0;0
16. Belvedere Grindelwald;16-GRINDBEL;2;24; 29.3 ; -   ; 44.1 ; 62.8 ; -   ; 85.2 ;https://backend.roundshot.com/cams/81b7fba18c109eba003bb9e58ad7aca8/full;https://storage2.roundshot.com/56dffea8826120.23800639/;1;2048;10771;3072;2048;360;310;9275;0;0;0;46.625044;0;8.029475;0;990;46;0;0;0;
17. Eiger Express Panorama Mast 4;17-EIGM4;4;10; 15.6 ; 23.5 ; 23.5 ; 75.9 ; 99.2 ; 99.2 ;https://backend.roundshot.com/cams/8ebf876ae226aa03b0c65b0985e6f60e/full;https://storage2.roundshot.com/5df0edf6b4e0b3.73492331/;6240;4160;9384;3072;2048;360;330;8602;0;12;0;46.59896;0;7.99664;0;1650;0;137;436;4341;4502
